account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a11484,0.0,0.0,0,0.0,0.0,0,501495800000000.0,501495800000000.0,5,501495800000000.0,501495800000000.0,5,0.0,0.0,7,0.0,0.0,0,0.0,0.0,0,102281940000000.0,102281940000000.0,3,105818387308306.66,105818387308306.66,4,0.0,0.0,0
a26355,0.0,0.0,0,0.0,0.0,6,0.0,0.0,0,0.0,0.0,6,0.0,0.0,8,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a15719,0.0,0.0,14,0.0,0.0,0,0.0,0.0,0,0.0,0.0,14,0.0,0.0,9,0.0,0.0,50,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a21675,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,343727110000000.0,343727110000000.0,1,6467982780000001.0,6467982780000001.0,1,0.0,0.0,0,0.0,0.0,0,6467997899999999.0,6467997899999999.0,1,1.2936895589999998e+16,1.2936895589999998e+16,2,0.0,0.0,0
a06850,0.0,0.0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,165140000000.0,165140000000.0,2,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,0
a30302,0.0,0.0,14,0.0,0.0,0,0.0,0.0,0,0.0,0.0,14,0.0,0.0,9,0.0,0.0,50,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a01581,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,79673300159000.0,79673300159000.0,4,0.0,0.0,32,0.0,0.0,0,0.0,0.0,0,0.0,0.0,32,0.0,0.0,0
a04782,0.0,0.0,0,0.0,0.0,24,0.0,0.0,0,0.0,0.0,24,0.0,0.0,8,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a23923,0.0,0.0,0,0.0,0.0,6,0.0,0.0,0,0.0,0.0,6,0.0,0.0,8,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a17987,0.0,0.0,0,0.0,0.0,0,466269900000.0,466269900000.0,3,466269900000.0,466269900000.0,3,144000950000.0,144000950000.0,4,0.0,0.0,0,0.0,0.0,0,204470000000.0,204470000000.0,2,204470000000.0,204470000000.0,2,0.0,0.0,0
a07238,0.0,0.0,36,0.0,0.0,0,0.0,0.0,0,0.0,0.0,36,0.0,0.0,5,0.0,0.0,50,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a19612,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,18877530000000.0,18877530000000.0,1,22875850000000.0,22875850000000.0,2,0.0,0.0,0,0.0,0.0,0,76859310000000.0,76859310000000.0,4,76859310000000.0,76859310000000.0,4,0.0,0.0,0
a21987,0.0,0.0,0,0.0,0.0,24,0.0,0.0,0,0.0,0.0,24,0.0,0.0,8,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
