文件名,TP,FP,FN,TN,准确率,精确率,召回率,特异度,F1分数
result.csv,546,85,181,6746,0.9648055041016141,0.8652931854199684,0.7510316368638239,0.9875567266871614,0.8041237113402061
submit.csv,508,67,219,6764,0.9621593014024874,0.8834782608695653,0.6987620357634112,0.9901917728004684,0.7803379416282642
v3.2refined_fold1_bad_f1_0.8083_good_0.9803_bad_0.8083_macro_0.8943_weighted_0.9634_seed_13_REAL_F1_0.7628549501151188.csv,497,79,230,6752,0.9591161682984917,0.8628472222222222,0.6836313617606602,0.9884350753915971,0.7628549501151188
GRADIENT_TUNE_10PCT_REAL_F1_0.7611336032388665.csv,564,191,163,6640,0.9531622122254565,0.7470198675496689,0.7757909215955984,0.9720392329087981,0.7611336032388665
v3.2refined_fold5_bad_f1_0.8401_good_0.9838_bad_0.8401_macro_0.9119_weighted_0.9697_seed_13_REAL_F1_0.7579273008507347.csv,490,76,237,6755,0.9585869277586663,0.8657243816254417,0.6740027510316369,0.988874249743815,0.7579273008507347
v3.2refined_fold1_bad_f1_0.7778_good_0.9765_bad_0.7778_macro_0.8771_weighted_0.9570_seed_13_REAL_F1_0.7549378200438918.csv,516,124,211,6707,0.9556761047896268,0.80625,0.7097661623108665,0.9818474601083297,0.7549378200438918
GRADIENT_TUNE_9PCT_REAL_F1_0.7533759772565743.csv,530,150,197,6681,0.9540883831701509,0.7794117647058824,0.7290233837689133,0.9780412823891085,0.7533759772565743
GRADIENT_TUNE_7PCT_REAL_F1_0.7531847133757962.csv,473,56,254,6775,0.9589838581635354,0.8941398865784499,0.6506189821182944,0.9918020787586005,0.7531847133757962
GRADIENT_TUNE_8PCT_REAL_F1_0.7528174305033809.csv,501,103,226,6728,0.9564699655993649,0.8294701986754967,0.6891334250343879,0.9849216805738545,0.7528174305033809
v3.2refined_fold4_bad_f1_0.8250_good_0.9814_bad_0.8250_macro_0.9032_weighted_0.9661_seed_13_REAL_F1_0.7525325615050651_REAL_F1_0.7525325615050651.csv,520,135,207,6696,0.9547499338449326,0.7938931297709924,0.7152682255845942,0.9802371541501976,0.7525325615050651
AGGRESSIVE_AGGRESSIVE_VOTING_REAL_F1_0.7521489971346705.csv,525,144,202,6687,0.9542206933051072,0.7847533632286996,0.7221458046767538,0.9789196310935442,0.7521489971346705
