文件名,总样本数,一致样本数,不同样本数,一致性率(%),预测为0,预测为1,0的比例(%),1的比例(%),预测0中一致,预测0总数,预测0一致率(%),预测1中一致,预测1总数,预测1一致率(%)
result.csv,7558,7292,266,96.48,6927,631,91.65,8.35,6746,6927,97.39,546,631,86.53
submit.csv,7558,7272,286,96.22,6983,575,92.39,7.61,6764,6983,96.86,508,575,88.35
v3.2refined_fold1_bad_f1_0.8083_good_0.9803_bad_0.8083_macro_0.8943_weighted_0.9634_seed_13_REAL_F1_0.7628549501151188.csv,7558,7249,309,95.91,6982,576,92.38,7.62,6752,6982,96.71,497,576,86.28
GRADIENT_TUNE_7PCT_REAL_F1_0.7531847133757962.csv,7558,7248,310,95.90,7029,529,93.00,7.00,6775,7029,96.39,473,529,89.41
v3.2refined_fold5_bad_f1_0.8401_good_0.9838_bad_0.8401_macro_0.9119_weighted_0.9697_seed_13_REAL_F1_0.7579273008507347.csv,7558,7245,313,95.86,6992,566,92.51,7.49,6755,6992,96.61,490,566,86.57
GRADIENT_TUNE_8PCT_REAL_F1_0.7528174305033809.csv,7558,7229,329,95.65,6954,604,92.01,7.99,6728,6954,96.75,501,604,82.95
v3.2refined_fold1_bad_f1_0.7778_good_0.9765_bad_0.7778_macro_0.8771_weighted_0.9570_seed_13_REAL_F1_0.7549378200438918.csv,7558,7223,335,95.57,6918,640,91.53,8.47,6707,6918,96.95,516,640,80.62
v3.2refined_fold4_bad_f1_0.8250_good_0.9814_bad_0.8250_macro_0.9032_weighted_0.9661_seed_13_REAL_F1_0.7525325615050651_REAL_F1_0.7525325615050651.csv,7558,7216,342,95.47,6903,655,91.33,8.67,6696,6903,97.00,520,655,79.39
AGGRESSIVE_AGGRESSIVE_VOTING_REAL_F1_0.7521489971346705.csv,7558,7212,346,95.42,6889,669,91.15,8.85,6687,6889,97.07,525,669,78.48
GRADIENT_TUNE_9PCT_REAL_F1_0.7533759772565743.csv,7558,7211,347,95.41,6878,680,91.00,9.00,6681,6878,97.14,530,680,77.94
GRADIENT_TUNE_10PCT_REAL_F1_0.7611336032388665.csv,7558,7204,354,95.32,6803,755,90.01,9.99,6640,6803,97.60,564,755,74.70
