Category,Count,Percentage (%)
January_Felony,54769,5.45
March_Felony,51793,5.15
October_Felony,51154,5.09
February_Felony,50562,5.03
July_Felony,50447,5.02
August_Felony,50031,4.98
May_Felony,49629,4.94
April_Felony,49329,4.91
November_Felony,49142,4.89
June_Felony,48856,4.86
December_Felony,48617,4.84
September_Felony,48316,4.81
January_Misdemeanor,37932,3.77
March_Misdemeanor,36025,3.58
February_Misdemeanor,35839,3.57
April_Misdemeanor,34189,3.4
August_Misdemeanor,33819,3.37
July_Misdemeanor,33515,3.33
May_Misdemeanor,33384,3.32
October_Misdemeanor,32973,3.28
